1,It's Like Eye Vs. Ear Thing
1,"USER hahaha, now that's something i wanna see. ;) i can so imagine the guys' reaction at school to that if it was a cologne!!"
1,"USER  Well, its your birthday, go crazy...but remember don't drive to the fridge!"
1,Watch my 24/7 SpyCam on ashleyscandy.com! At the moment im wearing my nighty with my fav panties peeking out for you to view
0,"USER yea it's really disappointing lately,"
1,"USER you better be in tomorrow, no food poisoning I hope!"
1,USER  See you on May 29th at ITR!
0,Missing my CJ-7 on Days like this
0,USER The had some of the best groups...Diddy Pop just kills em
0,Feeling bummed out today  maybe it's the rainy weather.
0,When was the last time I went out and had a really good time?? I really can't remember
1,"spend the day with the dog, when to the dog park  had a good day.. missin my man!"
1,"lmfao. not everyone can beauty breathe. ahaha, that made my morning. getting ready for the beach"
1,yay just got back from bens (he lives on a farm) i felt like a city girl comp ed to what it was like.  we wathced movies all night long
1,USER what makes you say that!? =\ why don't you drive by & pick me up right now? (; IM GRADUATING!  feels so unreal but it is. lol
0,Love you stephy. I wish I wouldve seen you today  *hug*
0,acsvxdcbgfn soccer now. shall see young phoebe after D: I don't want her dressed up though
1,"USER Apparently the 20th July, airing cocurrently in America too."
1,USER are you going to be at the elvis week festivities in memphis this august?
0,is wanting to go out but can't right now. sucks being sick  also sucks not having any1 my age to hang out with in this city...
1,"Check out our ebay store.Gweedo's Comic book Heaven.Just go to the community link & look for User ID: ""GWEEDO33"".We have 40,000+ comics!"
0,USER anooo  we'll probably end up just goin a walk lol as usual!
0,WEEK 8 WI....: Hellooo everyone :flowers:  Wow its feels like AGES since i last posted   I just started my new job  URL
0,"USER enjoy the Mac, they're so much better than a winblows machine ... to bad I'm stuck on it for work"
1,gettin ready to get schwastedddd
0,"USER Thats arsey coz we probably wont be in the same class, u'll be higher thn me :/  :S"
0,had so much fun @ the lake. miss you jake
0,"USER then we are screwed cause girls have always dated older guys (now asses) then contaminate the sweet ones, vicious cycle"
0,"Now I'm speechless, redundant, and sad... So bad I can't find the right words to say...  I'm really, really sorry..."
1,Cleaning house because we MIGHT have company later... listening to Craig playing keys in the garage.  Sunday perfection to me.
0,I wanna go see The Breakup
1,"I'ma get you high today. Because it's Friday, you ain't got a job, and you ain't got shit to do!... Goodmorning"
1,USER sweeeet girl! i still dont know what to wear but whatevaaa ha
0,"I guess we're not meant to be together, because I need you to understand me, but you cant"
0,Looks like my CAVS might b fishin  i didnt want this to happen!!!
1,Movie awards so far so good
1,"Had a LOT of fun at #STL ArtDTour, saw a lot of smiles from samples of USER, raffled a gift box, tasted wines from USER"
1,USER Thank you very much for hte #followfriday  take Care
0,"I'm relaxing on the couch with my brothers.  I'm glad they're home, BUT they are too lazy to change my puppy pad and it stinks in my room"
0,well it was a no go for the apple store because they extened the offer to people who got it a few months after but i got mine in november
0,excited about Sims 3!! Now if only I had time to play it
0,Im doing homework
0,had the saddest/scariest dream EVER. Still kinda shook up
1,USER Hi  Yes wasn't she absolutely terrible! How on earth does she hear a good tune from her ears? Lol
1,USER let's just say it involves being on a 75 foot yacht (aka boat).
0,My phone is having issues
1,"Catching up on business, hoping everyone had a great weekend~did here. Raining now but that's ok.....enjoying it."
1,USER anything is possible..... I believe! Just never never never give up
1,USER ha!  u wish bob
0,wow everyone is talking about the transformers 2 . i cant fall asleep
0,"aha, it's so lush outside. But i'm so ill. The sun is giving me a sore head"
0,Coming in from the msnbc's digital cafe this week where USER made some awesome cocktails! USER's hot choco was unappreciated
1,"USER She was on yesterday.  but, hasn't been on today."
0,USER aww i'm gonna miss it! Bummer.
0,Almost crying - parental part time is over - back in my 100% job working also on fridays
1,what am I doing? minding my own business
1,USER I am indeed emily  I have like 10 followers now yay  LOL X x
1,USER I will - thank you
1,Aquarium in a bit and pool if the weather holds up then some more Guitar Hero Metallica tonight to celebrate passing my exam
1,I have been with family all day today  Checking in here and then checking out. Watched a great DVD on making Russian Filigree jewelry.
0,Is not having a good day today.
0,"I want to sleep in, but the dog won't let me."
0,Watched House marathon on JetBlue. Yes. I miss him that much.
0,Now craving strawberries....wonder why...Trying to enter the contest but it's busy  Help Peter Facineli
0,"USER I ask you, if you haven't--if so, I'm sorry--to experience opiates & how they alter perception. Books aren't strong enough."
0,is ew it's a sunday
0,"still misses him  and worries like it's her job or something.. >_< Work's fine; an interesting coworker, ha! o_O Lots of typing, what fun!"
1,OMG the song beautiful liar is amazing! ... the video.... HOT! haha!  beyonce beyonce shakira shakira.
1,USER URL - Top 3 tonight on Trending Topics during the show
1,USER One on one and to the death!
1,USER You need to get one that plugs into the cig lighter so it stays hot
1,USER I will help you with that! Don't worry
0,tired of the drama
0,Trying Netbeans PHP editor. It doesn't have a code completion
1,"I'm sleepy, I go to bed! GoodKnight friends!! Nice dreams to all, hugs"
1,I have my own Tim Mcgraw. Hopefully he remembers all of our happy memories.
1,Is listing to nirvana-kurt conaimn absoloute genius
0,After taking such care to wear off shoulder or thin strapped tops in the sun I've managed to get a bloody t-shirt tan today
1,"USER lol u never hit me up before u left to vegas, u would be havin' a greater time there"
0,"Dang it, I have exceeded my API calls limit"
0,Hot as hell in my car...
0,USER Wish I could have gone. I'm sad that I have zero $ even with working 2 jobs.
1,"two 400-worded essays in 4 hours, i think im getting the hang of this"
1,"USER Bruce Willis film, one of those real time films? Dirty Cops etc... Very good!"
0,"USER Well, there goes my fantasy about you, not a tae kwon do master"
0,USER porsch said she will meet u 20mins. Her phone is dead
1,USER clearly.being 30 isnt that much fun!
1,at home spending some much needed time with myself  night tweets
